FA,CHC,CHH,COND,CECN,SEP,T,TIPOFALLA
S4,S5,S5,S5,S5,S5,0.956,0
S5,S3,S4,S5,S4,S5,0.8,0
S5,S5,S5,S5,S5,S5,0.848,0
S4,S5,S5,S5,S5,S5,0.97,0
S5,S3,S4,S5,S4,S5,0.794,0
S5,S3,S4,S5,S4,S5,0.808,0
S5,S3,S3,S5,S4,S5,0.682,0
S4,S3,S4,S5,S4,S5,0.762,0
S5,S5,S5,S5,S5,S5,0.916,0
S5,S3,S3,S5,S4,S5,0.692,0
S5,S5,S5,S5,S5,S5,0.926,0
S5,S5,S5,S5,S5,S5,0.848,0
S5,S4,S4,S5,S5,S5,0.914,0
S4,S3,S4,S5,S4,S4,0.78,0
S5,S5,S5,S5,S5,S5,0.964,0
S5,S3,S3,S5,S4,S5,0.662,0
S4,S3,S4,S5,S4,S4,0.78,0
S5,S5,S5,S5,S4,S0,0.914,0
S4,S3,S4,S5,S4,S4,0.78,0
S4,S5,S5,S5,S5,S5,0.93,0
S4,S5,S5,S5,S5,S5,0.97,0
S5,S5,S5,S5,S5,S5,0.944,0
S5,S4,S5,S5,S5,S5,0.908,0
S4,S5,S5,S5,S5,S5,0.97,0
S4,S3,S4,S5,S4,S5,0.824,0
S5,S5,S5,S5,S5,S5,0.984,B0
S5,S5,S5,S5,S5,S5,0.908,C0
S5,S5,S5,S5,S5,S5,0.914,B0
S5,S5,S5,S5,S5,S5,0.896,B0
S5,S5,S5,S5,S5,S5,0.896,A6
S5,S5,S5,S5,S5,S5,0.896,E2.III
S5,S5,S5,S5,S5,S5,0.896,A6
S5,S5,S5,S5,S5,S5,0.896,E2.I
S5,S5,S5,S5,S5,S5,0.896,E2.II
S5,S5,S5,S5,S5,S5,0.926,A2
S5,S5,S5,S5,S5,S5,0.926,B0
S5,S5,S5,S5,S5,S5,0.926,C2
S5,S4,S4,S5,S5,S5,0.934,B0
S5,S4,S4,S5,S5,S5,0.916,B0
S5,S4,S4,S5,S5,S5,0.916,B0
S5,S5,S5,S5,S5,S5,0.926,B0
S5,S5,S5,S5,S5,S5,0.972,B0
S5,S5,S5,S5,S5,S5,0.99,B0
S5,S5,S5,S5,S5,S5,0.95,B0
S5,S5,S5,S5,S5,S5,0.932,B0
S5,S5,S5,S5,S5,S5,0.99,B0
S5,S5,S5,S5,S5,S5,0.99,B0
S5,S5,S5,S5,S5,S5,0.99,A6
S5,S5,S5,S5,S5,S5,0.95,B0
S5,S5,S5,S5,S5,S5,0.95,B0
S5,S4,S5,S5,S5,S5,0.932,B0
S5,S4,S5,S5,S5,S5,0.932,C2
S5,S4,S5,S5,S5,S5,0.932,C2
S5,S3,S5,S5,S5,S5,0.908,B0
S5,S3,S5,S5,S5,S5,0.868,B0
S5,S3,S5,S5,S5,S5,0.868,B0
S5,S2,S4,S5,S5,S5,0.688,B0
S5,S2,S4,S5,S5,S5,0.688,B0
S5,S2,S4,S5,S5,S5,0.682,B0
S5,S2,S4,S5,S5,S5,0.684,A6
S5,S2,S4,S5,S5,S5,0.684,B0
S5,S2,S4,S5,S5,S5,0.684,B0
S5,S4,S4,S5,S5,S0,0.816,A5
S5,S5,S5,S5,S5,S0,0.886,A5
S4,S5,S5,S4,S4,S0,0.776,B0
S4,S5,S5,S4,S4,S0,0.762,B0
S4,S5,S5,S5,S5,S0,0.792,C2
S5,S5,S5,S4,S4,S0,0.818,B0
S5,S3,S3,S5,S5,S0,0.812,B0
S4,S5,S5,S4,S5,S0,0.8,B0
S4,S5,S5,S4,S4,S0,0.788,B0
S5,S4,S4,S3,S4,S0,0.774,A6
S5,S4,S4,S5,S5,S0,0.752,B0
S4,S4,S4,S3,S4,S0,0.736,E2.I
S4,S4,S4,S5,S5,S0,0.772,E2.I
S4,S4,S4,S5,S5,S0,0.772,C2
S5,S5,S5,S4,S5,S0,0.808,B0
S4,S5,S5,S4,S4,S0,0.776,B0
S4,S4,S4,S3,S4,S0,0.746,A5
S4,S5,S5,S5,S5,S0,0.794,B0
S5,S5,S5,S4,S4,S0,0.836,B0
S5,S5,S5,S4,S4,S0,0.836,E2.I
S5,S5,S5,S4,S4,S0,0.836,B0
S5,S5,S5,S4,S4,S0,0.836,B0
S5,S4,S4,S4,S4,S0,0.828,A5
S5,S4,S4,S5,S4,S0,0.846,B0
S5,S5,S5,S4,S5,S0,0.78,B0
S5,S4,S5,S3,S4,S0,0.71,B0
S5,S4,S5,S4,S3,S0,0.786,E2.I
S5,S5,S5,S4,S5,S0,0.764,B0
S5,S5,S5,S4,S5,S0,0.77,E2.I
S5,S5,S5,S4,S5,S0,0.788,B0
S5,S5,S4,S4,S5,S0,0.844,B0
S5,S4,S5,S4,S4,S0,0.75,E2.I
S5,S4,S5,S3,S4,S0,0.728,B0
S5,S4,S5,S4,S4,S0,0.742,A6
S5,S4,S5,S5,S4,S0,0.808,C2
S5,S5,S4,S4,S5,S0,0.744,A5
S5,S4,S5,S4,S4,S0,0.79,E2.I
S5,S5,S5,S4,S4,S0,0.782,E2.I
S4,S5,S5,S4,S4,S0,0.784,E2.I
S4,S5,S5,S5,S5,S0,0.882,B0
S5,S5,S5,S5,S5,S0,0.874,B0
S5,S5,S5,S5,S5,S0,0.776,B0
S5,S5,S5,S5,S5,S0,0.8,B0
S5,S5,S5,S5,S5,S0,0.79,E2.I
S4,S5,S5,S5,S5,S0,0.756,A5
S5,S5,S5,S5,S5,S0,0.764,A5
S0,S5,S5,S5,S5,S0,0.734,A5
S5,S5,S5,S5,S5,S0,0.734,E2.I
S5,S5,S5,S5,S5,S0,0.832,B0
S4,S5,S5,S5,S5,S0,0.808,B0
S5,S5,S5,S5,S5,S0,0.79,B0
S4,S5,S5,S5,S5,S0,0.788,B0
S5,S5,S5,S5,S5,S0,0.792,B0
S5,S5,S5,S5,S5,S0,0.78,A5
S5,S5,S5,S5,S5,S0,0.804,B0
S5,S5,S5,S5,S5,S0,0.774,E2.I
S5,S5,S5,S5,S5,S0,0.774,D0
S5,S5,S5,S5,S5,S0,0.774,E2.I
S5,S5,S5,S5,S5,S0,0.728,A5
S5,S5,S5,S5,S5,S0,0.764,E2.I
S5,S5,S5,S5,S5,S0,0.796,E1
S5,S5,S5,S5,S5,S0,0.778,B0
S5,S5,S5,S5,S5,S0,0.804,A5
S5,S5,S5,S5,S5,S0,0.822,A5
S5,S5,S5,S5,S5,S5,0.848,A1
S5,S5,S5,S5,S5,S5,0.884,B0
S5,S3,S3,S5,S4,S5,0.692,B0
S5,S3,S3,S5,S4,S5,0.672,B0
S5,S5,S5,S5,S5,S5,0.928,A6
S5,S5,S5,S5,S5,S5,0.956,E2.I
S5,S5,S5,S5,S5,S5,0.956,E2.I
S5,S5,S5,S5,S5,S5,0.936,E2.I
S5,S5,S5,S5,S5,S5,0.936,E2.I
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.682,B0
S5,S3,S3,S5,S4,S5,0.658,B0
S5,S3,S3,S5,S4,S5,0.658,B0
S5,S3,S3,S5,S4,S5,0.658,B0
S5,S3,S3,S5,S4,S5,0.662,B0
